"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","1971",4.547,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1972",4.547,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1973",4.511,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1974",5.112,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1975",5.76,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1976",5.777,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1977",6.076,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1978",5.938,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1979",5.828,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1980",5.83,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1981",5.839,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1982",6.106,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1983",6.052,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1984",6.024,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1985",6.075,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1986",6.274,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1987",6.112,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1988",6.067,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1989",6.12,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1990",6.48,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1991",6.776,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1992",6.841,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1993",6.857,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1994",6.889,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1995",6.935,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1996",7.074,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1997",7.088,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1998",7.244,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","1999",7.331,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2000",7.614,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2001",7.696,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2002",7.893,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2003",7.904,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2004",8.109,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2005",7.99,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2006",7.989,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2007",8.068,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2008",8.256,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2009",8.563,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2010",8.431,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2011",8.542,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2012",8.676,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2013",8.761,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2014",9.036,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2015",9.323,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2016",9.201,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",9.205,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2018",9.285,"E"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2019",9.334,"E"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1971",38.036,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1972",41.058,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1973",45.525,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1974",63.485,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1975",60.046,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1976",63.861,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1977",63.612,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1978",76.501,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1979",83.368,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1980",95.422,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1981",99.479,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1982",95.79,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1983",112.754,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1984",114.296,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1985",125.515,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1986",132.674,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1987",140.866,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1988",161.565,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1989",176.613,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1990",198.063,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1991",216.468,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1992",233.118,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1993",246.76,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1994",262.612,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1995",259.602,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1996",293.664,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1997",308.676,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1998",387.179,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1999",386.848,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2000",452.207,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2001",467.919,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2002",494.223,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2003",493.458,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2004",541.335,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2005",564.235,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2006",591.511,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2007",607.639,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2008",637.921,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2009",651.966,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2010",710.008,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2011",730.301,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2012",768.307,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2013",806.565,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2014",821.773,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2015",830.095,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2016",844.63,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2017",845.174,"D"
"AUT","HEALTHEXP","TOT","PC_GDP","A","1970",4.838,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1971",4.77,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1972",4.765,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1973",4.857,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1974",5.086,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1975",6.507,
