Category,Country,Year Month,Index (2015 = 100),code
All-items HICP,Austria,2000M01,74.28,1
All-items HICP,Austria,2000M02,74.85,1
All-items HICP,Austria,2000M03,74.92,1
All-items HICP,Austria,2000M04,74.78,1
All-items HICP,Austria,2000M05,74.71,1
All-items HICP,Austria,2000M06,75.0,1
All-items HICP,Austria,2000M07,74.78,1
All-items HICP,Austria,2000M08,74.85,1
All-items HICP,Austria,2000M09,75.14,1
All-items HICP,Austria,2000M10,75.35,1
All-items HICP,Austria,2000M11,75.64,1
All-items HICP,Austria,2000M12,75.93,1
All-items HICP,Austria,2001M01,75.96,1
All-items HICP,Austria,2001M02,76.21,1
All-items HICP,Austria,2001M03,76.33,1
All-items HICP,Austria,2001M04,76.71,1
All-items HICP,Austria,2001M05,76.86,1
All-items HICP,Austria,2001M06,76.96,1
All-items HICP,Austria,2001M07,76.85,1
All-items HICP,Austria,2001M08,76.66,1
All-items HICP,Austria,2001M09,76.95,1
All-items HICP,Austria,2001M10,77.1,1
All-items HICP,Austria,2001M11,77.07,1
All-items HICP,Austria,2001M12,77.27,1
All-items HICP,Austria,2002M01,77.4,1
All-items HICP,Austria,2002M02,77.53,1
All-items HICP,Austria,2002M03,77.63,1
All-items HICP,Austria,2002M04,77.98,1
All-items HICP,Austria,2002M05,78.12,1
All-items HICP,Austria,2002M06,78.11,1
All-items HICP,Austria,2002M07,77.98,1
All-items HICP,Austria,2002M08,78.19,1
All-items HICP,Austria,2002M09,78.19,1
All-items HICP,Austria,2002M10,78.36,1
All-items HICP,Austria,2002M11,78.36,1
All-items HICP,Austria,2002M12,78.57,1
All-items HICP,Austria,2003M01,78.71,1
All-items HICP,Austria,2003M02,78.85,1
All-items HICP,Austria,2003M03,79.06,1
All-items HICP,Austria,2003M04,78.98,1
All-items HICP,Austria,2003M05,78.88,1
All-items HICP,Austria,2003M06,78.89,1
All-items HICP,Austria,2003M07,78.79,1
All-items HICP,Austria,2003M08,79.01,1
All-items HICP,Austria,2003M09,79.22,1
All-items HICP,Austria,2003M10,79.2,1
All-items HICP,Austria,2003M11,79.4,1
All-items HICP,Austria,2003M12,79.62,1
All-items HICP,Austria,2004M01,79.67,1
All-items HICP,Austria,2004M02,80.02,1
All-items HICP,Austria,2004M03,80.34,1
All-items HICP,Austria,2004M04,80.24,1
All-items HICP,Austria,2004M05,80.53,1
All-items HICP,Austria,2004M06,80.68,1
All-items HICP,Austria,2004M07,80.44,1
All-items HICP,Austria,2004M08,80.75,1
All-items HICP,Austria,2004M09,80.68,1
All-items HICP,Austria,2004M10,81.06,1
All-items HICP,Austria,2004M11,81.22,1
All-items HICP,Austria,2004M12,81.62,1
All-items HICP,Austria,2005M01,81.6,1
All-items HICP,Austria,2005M02,81.87,1
All-items HICP,Austria,2005M03,82.26,1
All-items HICP,Austria,2005M04,82.08,1
